OBJECTID,Address Grid High,Address Grid Low,ENG_UNIQUE,Township Id,Road Id,Segment Id,Subsegment Id,Right City,Left County,Right County,Left State,Right State,Left FIPS,Right FIPS,Cardinality,Number of Lanes,Speed,Left City,Left Township,Right Township,Jurisdiction,Beginning Log Point,3D Length,Surface Type,Travel Direction,Reverse Direction,Divided,Alternate Pre Direction,Alternate Street Name,Alternate Suffix Direction,Alternate Street Type,End Log Point,Beginning Log Point 2,End Log Point 2,NLFID 2,Overlapping Road,Road ID,Pre Direction,Suffix Direction,Left To Address,Left From Address,Right To Address,Right From Address,Left Zip Code,Right Zip Code,Street Name,Street Type,Road Number,NLFID,Pre Type,Full Street Name,PNAME,Left Community,Right Community,Shield,SHAPE__Length
6087,6000,1500, ,,41,59,1, ,DEL,DEL,OH,OH,05788,05788,C,2,55, ,BERLIN TWP,BERLIN TWP,T,0,0,P,B,True,N, , , , ,0,0,0, , ,241005901, , ,4222,4222,0,0,43035,43035,PIATT,RD,99,TDELTR00099**C, ,PIATT RD,PIATT,BERLIN TWP,BERLIN TWP, ,467.677506338615
6088,6000,1500, ,,41,59,0, ,DEL,DEL,OH,OH,05788,05788,C,2,55, ,BERLIN TWP,BERLIN TWP,T,0,0,P,B,True,N, , , , ,0,0,0, , ,241005900, , ,4440,4578,0,0,43035,43035,PIATT,RD,99,TDELTR00099**C, ,PIATT RD,PIATT,BERLIN TWP,BERLIN TWP, ,875.855520411087
6089,2400,2300, ,,42,59,0, ,DEL,DEL,OH,OH,05788,05788,C,2,25, ,BERLIN TWP,BERLIN TWP,T,0,0,P,B, ,N, , , , ,0,0,0, , ,242005900, , ,0,0,0,0,43035,43035,CEDAR CREST,ST,1513,TDELTR01513**C, ,CEDAR CREST ST,CEDAR CREST,BERLIN TWP,BERLIN TWP, ,136.21237206161
6090,5500,5300, ,,42,783,24, ,DEL,DEL,OH,OH,29694,29694,C,2,25, ,GENOA TWP,GENOA TWP,T,0,0,P,B,True,N, , , , ,0,0,0, , ,642078324, , ,5430,5480,5429,5479,43082,43082,KETTERINGTON,LN,1490,TDELTR01490**C, ,KETTERINGTON LN,KETTERINGTON,GENOA TWP,GENOA TWP, ,192.957785322196
6091,5800,4500, ,,42,783,27, ,DEL,DEL,OH,OH,29694,29694,C,2,25, ,GENOA TWP,GENOA TWP,T,0,0,P,B, ,N, , , , ,0,0,0, , ,642078327, , ,5737,5705,5732,5706,43082,43082,ALSTON GROVE,DR,1312,TDELTR01312**C, ,ALSTON GROVE DR,ALSTON GROVE,GENOA TWP,GENOA TWP, ,70.5442573720976
6092,5600,5500, ,,42,783,25, ,DEL,DEL,OH,OH,29694,29694,C,2,25, ,GENOA TWP,GENOA TWP,T,0,0,P,B, ,N, , , , ,0,0,0, , ,642078325, , ,5599,5573,5600,5574,43082,43082,TACOMA,LN,1491,TDELTR01491**C, ,TACOMA LN,TACOMA,GENOA TWP,GENOA TWP, ,133.451329091609
6093,5800,4500, ,,42,783,26, ,DEL,DEL,OH,OH,29694,29694,C,2,25, ,GENOA TWP,GENOA TWP,T,0,0,P,B, ,N, , , , ,0,0,0, , ,642078326, , ,5671,5541,5690,5530,43082,43082,ALSTON GROVE,DR,1312,TDELTR01312**C, ,ALSTON GROVE DR,ALSTON GROVE,GENOA TWP,GENOA TWP, ,323.270764003458
6094,5500,5000, ,,42,783,12, ,DEL,DEL,OH,OH,29694,29694,C,2,25, ,GENOA TWP,GENOA TWP,T,0,0,P,B, ,N, , , , ,0,0,0, , ,642078312, , ,5399,5399,5414,5306,43082,43082,SIERRA,DR,1315,TDELTR01315**C, ,SIERRA DR,SIERRA,GENOA TWP,GENOA TWP, ,283.379353729964
6095,0,0, ,,45,838,0,POWELL,DEL,DEL,OH,OH,64486,64486,C,2,45,POWELL, , ,M,0,0,P,B,True,N, , , , ,0,0,0, , ,945083800, , ,0,0,0,0,43065,43065,RUTHERFORD,RD,122,TDELTR00122**C, ,RUTHERFORD RD,RUTHERFORD,POWELL,POWELL, ,42.6485412529918
6096,0,0, ,,45,838,1,POWELL,DEL,DEL,OH,OH,64486,64486,C,2,45,POWELL, , ,M,0,0,P,B,True,N, , , , ,0,0,0, , ,945083801, , ,0,0,0,0,43065,43065,RUTHERFORD,RD,122,TDELTR00122**C, ,RUTHERFORD RD,RUTHERFORD,POWELL,POWELL, ,24.216109995842
6097,1182,1025, ,,55,838,0,POWELL,DEL,DEL,OH,OH,64486,64486,C,2,25,POWELL, , ,M,0,0,P,B, ,N, , , , ,0,0,0, , ,955083800, , ,0,0,0,0,43065,43065,CARRIAGE VALLEY,DR,1144,MDELMR01144**C, ,CARRIAGE VALLEY DR,CARRIAGE VALLEY,POWELL,POWELL, ,133.431314923297
6098,306,15, ,,55,774,4,POWELL,DEL,DEL,OH,OH,64486,64486,C,2,25,POWELL, , ,M,0,0,P,B,True,N, , , , ,0,0,0, , ,955077404, , ,16,176,15,175,43065,43065,WATSON,WAY,1092,MDELMR01092**C, ,WATSON WAY,WATSON,POWELL,POWELL, ,599.914899713626
6099,879,60, ,,55,772,0,POWELL,DEL,DEL,OH,OH,64486,64486,C,2,25,POWELL, , ,M,0,0,P,B, ,N, , , , ,0,0,0, , ,955077200, , ,841,827,846,826,43065,43065,VILLAGE PARK,DR,411,MDELMR00411**C, ,VILLAGE PARK DR,VILLAGE PARK,POWELL,POWELL, ,176.388368431659
6100,1310,1091, ,,35,162,0,DELAWARE,DEL,DEL,OH,OH,21434,21434,C,2,45,DELAWARE, , ,M,0,0,P,B, ,N, , , , ,0,0,0, , ,235016200, , ,1097,1091,0,0,43015,43015,CHESHIRE,RD,72,CDELCR00072**C, ,CHESHIRE RD,CHESHIRE,DELAWARE,DELAWARE, ,664.009003817538
6101,1310,1091, ,,51,162,1,DELAWARE,DEL,DEL,OH,OH,21434,21434,C,2,45,DELAWARE, , ,M,0,0,P,B, ,N, , , , ,0,0,0, , ,235016201, , ,0,0,1310,1310,43015,43015,CHESHIRE,RD,72,CDELCR00072**C, ,CHESHIRE RD,CHESHIRE,DELAWARE,DELAWARE, ,205.890210806981
6102,250,250, ,,55,65,7,WESTERVILLE,DEL,DEL,OH,OH,83342,83342,C,2,20,WESTERVILLE, , ,M,0,0,P,B,True,N, , , , ,0,0,0, , ,655006507, , ,250,250,0,0,43082,43082,PROGRESSIVE,WAY,1121,MDELMR01121**C, ,PROGRESSIVE WAY,PROGRESSIVE,WESTERVILLE,WESTERVILLE, ,131.94205092224
6103,8229,8208, ,,15,91,2,OSTRANDER,DEL,DEL,OH,OH,58940,58940,C,2,55,OSTRANDER, , ,M,0,0,P,B,True,N, ,US HIGHWAY 36/US 36/US HWY 36/36,W/W/W/, ,0,0,0, , ,1515009102, , ,8208,8218,8179,8229,43061,43061,MARYSVILLE,RD,36,SDELUS00036**C, ,MARYSVILLE RD,MARYSVILLE,OSTRANDER,OSTRANDER, ,561.670118287887
6104,10600,3201, ,,12,91,2,OSTRANDER,DEL,DEL,OH,OH,70842,58940,C,2,55, ,SCIOTO TWP, ,S,0,0,P,B,True,N, ,US HIGHWAY 36/US 36/US HWY 36/36,W/W/W/, ,0,0,0, , ,1512009102, , ,7010,7360,7153,7259,43061,43061,MARYSVILLE,RD,36,SDELUS00036**C, ,MARYSVILLE RD,MARYSVILLE,SCIOTO TWP,SCIOTO TWP, ,748.798891104118
6105,304,182, ,,55,838,1,POWELL,DEL,DEL,OH,OH,64486,64486,C,2,25,POWELL, , ,M,0,0,P,B,True,N, , , , ,0,0,0, , ,955083801, , ,250,304,215,297,43065,43065,HALVERSTON,RD,1145,MDELMR01145**C, ,HALVERSTON RD,HALVERSTON,POWELL,POWELL, ,302.312604211942
6106,304,182, ,,55,838,2,POWELL,DEL,DEL,OH,OH,64486,64486,C,2,25,POWELL, , ,M,0,0,P,B,True,N, , , , ,0,0,0, , ,955083802, , ,182,182,189,205,43065,43065,HALVERSTON,RD,1145,MDELMR01145**C, ,HALVERSTON RD,HALVERSTON,POWELL,POWELL, ,266.085002028236
6107,306,15, ,,55,774,7,POWELL,DEL,DEL,OH,OH,64486,64486,C,2,25,POWELL, , ,M,0,0,P,B,True,N, , , , ,0,0,0, , ,955077407, , ,246,306,255,295,43065,43065,WATSON,WAY,1092,MDELMR01092**C, ,WATSON WAY,WATSON,POWELL,POWELL, ,179.474588656453
6108,306,15, ,,55,774,6,POWELL,DEL,DEL,OH,OH,64486,64486,C,2,25,POWELL, , ,M,0,0,P,B,True,N, , , , ,0,0,0, , ,955077406, , ,206,236,205,225,43065,43065,WATSON,WAY,1092,MDELMR01092**C, ,WATSON WAY,WATSON,POWELL,POWELL, ,125.524986791296
6109,306,15, ,,55,774,5,POWELL,DEL,DEL,OH,OH,64486,64486,C,2,25,POWELL, , ,M,0,0,P,B,True,N, , , , ,0,0,0, , ,955077405, , ,196,196,0,0,43065,43065,WATSON,WAY,1092,MDELMR01092**C, ,WATSON WAY,WATSON,POWELL,POWELL, ,82.4888778026336
6110,259,203, ,,55,772,3,POWELL,DEL,DEL,OH,OH,64486,64486,C,2,25,POWELL, , ,M,0,0,P,B,True,N, , , , ,0,0,0, , ,955077203, , ,210,258,203,259,43065,43065,SMOKEWOOD,RD,1146,MDELMR01146**C, ,SMOKEWOOD RD,SMOKEWOOD,POWELL,POWELL, ,250.845207433443
6111,192,159, ,,55,772,2,POWELL,DEL,DEL,OH,OH,64486,64486,C,2,25,POWELL, , ,M,0,0,P,B,True,N, , , , ,0,0,0, , ,955077202, , ,166,192,159,179,43065,43065,SMOKEWOOD,CT,1147,MDELMR01147**C, ,SMOKEWOOD CT,SMOKEWOOD,POWELL,POWELL, ,113.090183441791
